"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"Chrna2"	1.90951824449937	4.62772121862037	114.569992003917	1.01073053997864e-26	9.80463754536011e-24
"Nsdhl"	-1.82653261873651	4.99395828870355	113.296390990512	1.88679187997723e-26	1.79760727093617e-23
"Gm31522"	-2.42259848265274	4.66547288632989	155.990872767992	2.37403756064275e-26	2.22214080654338e-23
"Cxcl1"	-2.5682210134841	3.27039645674706	112.253322913918	3.26977067228594e-26	3.00779439100814e-23
"Fam19a2"	-5.45452673566649	1.63391084701426	108.333056484863	2.37667521385678e-25	2.14919919804917e-22
"Fitm1"	-1.74346885944875	5.57538641634889	109.231518385752	2.50348038003503e-25	2.22613647860015e-22
"Adgrv1"	-2.24562861365548	3.6306029798204	108.074465760873	2.783745885311e-25	2.43477367572128e-22
"Snhg11"	-1.88064004668331	4.70455954135573	112.208183211877	2.97282183981097e-25	2.55820909063604e-22
"Fabp4"	-2.23151801022543	3.63542343265788	107.222554957947	4.03376465465214e-25	3.41608643840723e-22
"9130409I23Rik"	-1.99342220840682	4.1121624529679	106.353367261291	6.25306277767417e-25	5.21280716214453e-22
"Hmgcs1"	-1.77132823651201	7.69624743296248	105.283999728589	1.07236250569344e-24	8.80211642557875e-22
"Hcn3"	-1.72444188722546	5.72708785465696	107.122186714586	1.33473947980331e-24	1.07897508281737e-21
"Cyp4a14"	1.87805146057685	12.2413707944417	104.695822905755	1.52464472306718e-24	1.21409507328065e-21
"Gm44986"	-1.74520981582738	5.01896666570356	104.487095517535	1.62952177460526e-24	1.27852757706639e-21
"Zc3h7a"	-1.90769984496592	9.01834789232932	111.075391610284	1.77147538893901e-24	1.36976125255164e-21
"Cps1"	1.85169721259684	10.9269173387489	102.981432353594	3.42614086928879e-24	2.61135562570236e-21
"Atox1"	-1.68387327990386	6.33480776300433	102.061426842196	5.84254763417192e-24	4.39038653416865e-21
"Apom"	1.67488214709139	5.57450095127971	101.617610114101	6.81793932814444e-24	5.05218773575681e-21
"Pmm1"	-2.2554324716201	3.48552442366888	101.479273055416	7.60595703085656e-24	5.55891267763411e-21
"Gpx4-ps2"	-1.66698307247938	5.75599176008826	101.247121134488	8.34469880027978e-24	6.01641506880172e-21
"Mvd"	-2.2794679538833	3.4453621214393	101.198489462582	9.12625194117133e-24	6.49217226423085e-21
"Gm15611"	4.71068780509228	1.77141954020082	105.09860005983	1.31186078119864e-23	9.20943529727517e-21
"Lect2"	-1.65586365695141	6.51124036669037	98.3084665546769	3.72038331225387e-23	2.57783910206079e-20
"Gm31121"	3.0936214605105	2.48246930233907	97.5063930178344	6.00449786104909e-23	4.10715351769938e-20
"Ciart"	-2.84501732006532	2.95353081416716	106.794959703071	8.25623260887462e-23	5.57588327064921e-20
"Osbpl3"	-1.63209850031727	5.37516086572813	96.1116023575833	1.11628941308122e-22	7.4446736320153e-20
"Tmem189"	-1.72586985694446	4.62981817260999	95.3522095935324	1.6109617049858e-22	1.06110666476676e-19
"Gstm2"	-1.61370361108786	5.51289754289191	94.6105926764373	2.41824713949426e-22	1.57342365406631e-19
"Tsku"	-2.358944281788	7.084230096558	150.767164102728	2.53220227997516e-22	1.62771793064475e-19
"Jund"	-1.59200320521313	5.82535586612124	92.9847893308954	5.32456373921472e-22	3.38192201402765e-19
